2019-12-06 09:56:02.2105 Info Starting Jackett v0.12.1091.0 
2019-12-06 09:56:02.6913 Info Environment version: 3.0.1 (/app/Jackett/) 
2019-12-06 09:56:02.6913 Info OS version: Unix 5.3.12.1 (64bit OS) (64bit process) 
2019-12-06 09:56:02.6913 Info Jackett variant: CoreLinuxAmdx64 
2019-12-06 09:56:02.6913 Info ThreadPool MaxThreads: 32767 workerThreads, 1000 completionPortThreads 
2019-12-06 09:56:02.6913 Info App config/log directory: /config/Jackett 
2019-12-06 09:56:02.6913 Info issue: Ubuntu 18.04.3 LTS \n \l 
2019-12-06 09:56:02.6946 Info Using HTTP Client: HttpWebClient2NetCore 
2019-12-06 09:56:02.7852 Info Loading Cardigann definitions from: /config/cardigann/definitions/, /etc/xdg/cardigan/definitions/, /app/Jackett/Definitions 
2019-12-06 09:56:02.7972 Info Loading Cardigann definition /app/Jackett/Definitions/hqsource.yml 
2019-12-06 09:56:02.8542 Info Loading Cardigann definition /app/Jackett/Definitions/legittorrents.yml 
2019-12-06 09:56:02.8559 Info Loading Cardigann definition /app/Jackett/Definitions/hush.yml 
2019-12-06 09:56:02.8591 Info Loading Cardigann definition /app/Jackett/Definitions/pt99.yml 
2019-12-06 09:56:02.8615 Info Loading Cardigann definition /app/Jackett/Definitions/yggcookie.yml 
2019-12-06 09:56:02.8682 Info Loading Cardigann definition /app/Jackett/Definitions/pwtorrents.yml 
2019-12-06 09:56:02.8682 Info Loading Cardigann definition /app/Jackett/Definitions/tasmanit.yml 
2019-12-06 09:56:02.8738 Info Loading Cardigann definition /app/Jackett/Definitions/nitro.yml 
2019-12-06 09:56:02.8755 Info Loading Cardigann definition /app/Jackett/Definitions/teamos.yml 
2019-12-06 09:56:02.8806 Info Loading Cardigann definition /app/Jackett/Definitions/torviet.yml 
2019-12-06 09:56:02.8906 Info Loading Cardigann definition /app/Jackett/Definitions/passionetorrent.yml 
2019-12-06 09:56:02.8941 Info Loading Cardigann definition /app/Jackett/Definitions/pleasuredome.yml 
2019-12-06 09:56:02.8971 Info Loading Cardigann definition /app/Jackett/Definitions/hdu.yml 
2019-12-06 09:56:02.8995 Info Loading Cardigann definition /app/Jackett/Definitions/world-of-tomorrow.yml 
2019-12-06 09:56:02.9026 Info Loading Cardigann definition /app/Jackett/Definitions/hdhome.yml 
2019-12-06 09:56:02.9064 Info Loading Cardigann definition /app/Jackett/Definitions/cztorrent.yml 
2019-12-06 09:56:02.9093 Info Loading Cardigann definition /app/Jackett/Definitions/hon3yhd.yml 
2019-12-06 09:56:02.9123 Info Loading Cardigann definition /app/Jackett/Definitions/leporno.yml 
2019-12-06 09:56:02.9123 Info Loading Cardigann definition /app/Jackett/Definitions/redstartorrent.yml 
2019-12-06 09:56:02.9158 Info Loading Cardigann definition /app/Jackett/Definitions/wihd.yml 
2019-12-06 09:56:02.9204 Info Loading Cardigann definition /app/Jackett/Definitions/alein.yml 
2019-12-06 09:56:02.9232 Info Loading Cardigann definition /app/Jackett/Definitions/btetree.yml 
2019-12-06 09:56:02.9244 Info Loading Cardigann definition /app/Jackett/Definitions/chdbits.yml 
2019-12-06 09:56:02.9244 Info Loading Cardigann definition /app/Jackett/Definitions/dxdhd.yml 
2019-12-06 09:56:02.9309 Info Loading Cardigann definition /app/Jackett/Definitions/anidex.yml 
2019-12-06 09:56:02.9309 Info Loading Cardigann definition /app/Jackett/Definitions/nbtorrents.yml 
2019-12-06 09:56:02.9356 Info Loading Cardigann definition /app/Jackett/Definitions/dmhy.yml 
2019-12-06 09:56:02.9356 Info Loading Cardigann definition /app/Jackett/Definitions/blutopia.yml 
2019-12-06 09:56:02.9399 Info Loading Cardigann definition /app/Jackett/Definitions/tazmaniaden.yml 
2019-12-06 09:56:02.9413 Info Loading Cardigann definition /app/Jackett/Definitions/extratorrent-ag.yml 
